order,damping_ratio,natural_frequency,dc_gain,den_a1,den_a2,den_a3,num_s,num_1,best_controller,best_settling_time,best_overshoot,best_score
1.0,1.0,2.3066165108098513,0.7751166574453004,2.3066165108098513,0.0,0.0,0.0,1.7878968798670738,P,0.7142093357704297,0.0,0.9240920154661502
3.0,1.0,0.6520512698607176,0.24988114203947234,8.47863050474379,20.413588240256544,9.983072721848469,1.056197036348872,2.494581612798599,P,2.4069620517098773,0.0,0.933023086531098
1.0,1.0,3.29055257638719,0.5270064463793552,3.29055257638719,0.0,0.0,0.0,1.734142419906245,P,0.5006475380105776,0.0,0.9284300142747834
3.0,1.0,0.506322829300042,1.5275797198872592,2.130385077579206,2.693783964166561,0.9475751607843601,0.0,1.4474965986830972,PID,9.07482984731302,30.740602097571013,0.7576054199566141
1.0,1.0,1.901724647023368,1.0285648028246432,1.901724647023368,0.0,0.0,0.0,1.9560470365923548,P,0.8662700189752377,0.0,0.9201802860523562
3.0,0.13898535155063357,2.493588717517059,0.22984022686101765,4.629385395007661,8.946368772849356,24.475484951593703,1.6171432338617258,5.62545101380772,PID,34.733473252286714,0.0,0.7602591807194765
2.0,0.5179046720354691,2.041160618363884,0.23990237243121318,2.114253241250925,4.166336669959632,0.0,1.2135573893389007,0.9995140514704761,P,2.260257313440963,58.620060240420635,0.8221869551089054
3.0,0.48906520779637536,3.4481257750077905,0.01941028135485139,7.569572038402066,26.044375445380908,49.8988110664858,0.0,0.9685499620730615,PI,8.087132394070906,17.04319008352506,0.7068252130812269
3.0,0.22437971041228622,3.507728868682389,0.015602907576645139,3.6340225948643736,15.54669878589149,25.34529640737237,1.6803865662532076,0.3954603173469072,P,5.346537603499694,502.7758795469547,0.7422642736790249
3.0,1.0,2.402795722584024,0.04463910550001025,8.917547280564332,26.156911570884052,25.23727084215432,1.5026044426857075,1.126569195655259,PID,18.518824184914635,0.0,0.9424923253478578
2.0,1.0,3.246647936002836,0.10649991419742835,7.118642451599759,12.57100300227705,0.0,0.0,1.3388107411181203,PID,5.897373034423358,0.0,0.9693600066953194
2.0,0.4886784764168027,0.4448438224693153,19.438940978474935,0.43477120281546305,0.1978860263891116,0.0,1.7801046099022493,3.8466947874428743,Lag,17.134762686963402,18.40813873331438,0.6800415126433222
1.0,1.0,0.4798531601075169,1.9215791718999882,0.4798531601075169,0.0,0.0,0.0,0.9220758380329948,P,3.4331482691361015,0.0,0.9052758753222749
1.0,1.0,1.6092500372800813,0.9276835404730308,1.6092500372800813,0.0,0.0,0.0,1.4928747720903426,P,1.0237110504263347,0.0,0.9216528931846621
1.0,1.0,3.962711403710785,0.37763797512222264,3.962711403710785,0.0,0.0,0.0,1.4964703104910813,P,0.4157272327527905,0.0,0.9309697627691029
2.0,0.24860589871785646,4.125895807930364,0.05881216587585912,2.0514440706935293,17.023016217897347,0.0,1.5835390258946753,1.0011604535144187,P,2.463129132573758,328.40035486206125,0.7642218864138515
3.0,0.23555777141471904,2.654910442985808,0.04291561642479653,4.793107374883941,11.479197803621354,24.968343190932135,0.0,1.0715318391447237,PID,8.099128563685184,1.904607589210017,0.8122767612815387
2.0,0.42201322339251746,3.262328187658775,0.13991192792235033,2.753491268476299,10.64278520399299,0.0,1.9428464968242718,1.4890525963541237,P,2.1058418487627923,141.5030985245251,0.7916677484784974
2.0,1.0,1.476175815005694,0.2199429016212393,6.328222426274769,7.162473860835742,0.0,0.0,1.5753352837384935,PID,15.509700439561652,0.0,0.9403016163576877
3.0,0.1857879563166147,1.5795353406722463,0.07105825453656803,5.119408789157168,5.155129503284355,11.308257604038454,0.0,0.8035450471928455,PID,12.461920623807664,2.6861057194904836,0.8662956142692353
3.0,1.0,1.0485093581083114,0.0979373711302537,8.542825289881817,21.890266812443073,14.713109453767428,0.0,1.440963261053665,Lead,5.095766768341402,33.33226407125655,0.7232797471930082
1.0,1.0,3.003670250781131,0.49098928284444776,3.003670250781131,0.0,0.0,0.0,1.47476990233223,P,0.5484646810461925,0.0,0.9290368591924738
2.0,0.539651829127622,0.4955866171508947,2.9184384980753357,0.5348884488733016,0.24560609509906742,0.0,0.0,0.7167862832990703,P,15.132006487432134,28.1290802070041,0.71223676447642
1.0,1.0,0.6963342450682479,1.9839134267066962,0.6963342450682479,0.0,0.0,0.0,1.3814668582665681,P,2.3658279881110076,0.0,0.9042175050496358
3.0,0.12029544521643085,3.077302809962658,0.043222321821157296,3.729464493742359,11.682830775386027,28.306095181019863,0.0,1.2234551554143502,PI,28.269290116682104,0.0,0.8037476809596992
1.0,1.0,3.9571290908013736,0.15771408654178373,3.9571290908013736,0.0,0.0,0.0,0.6240949998836578,PID,6.066835425204868,0.0,0.9468762277994018
1.0,1.0,2.5553935729017003,0.746162823090039,2.5553935729017003,0.0,0.0,0.0,1.9067396824624743,P,0.6446784023926093,0.0,0.9247204028364784
2.0,1.0,1.4814831828410888,0.34968359940806315,3.9542323079144674,3.6633362441812265,0.0,0.0,1.2810086037073067,PID,14.125491792623665,0.0,0.9308338512348878
3.0,1.0,0.8731956271933318,0.043372866173877776,8.383402646035977,24.06015497311106,15.282910035177451,0.0,0.6628636117031653,Lead,5.8220607906755815,39.15182698487796,0.6978546219870879
2.0,1.0,1.5499221624272401,0.3169135667487543,4.915150808948368,5.215842460878122,0.0,0.0,1.6529712378764856,PID,14.140386831263895,0.0,0.9303550357609435
1.0,1.0,4.596856856660518,0.18389108312509475,4.596856856660518,0.0,0.0,0.0,0.8453209863423212,PID,5.221431301092406,0.0,0.942263004420248
1.0,1.0,0.37958026964566294,3.509873432912894,0.37958026964566294,0.0,0.0,0.0,1.332278704087225,P,4.340075546077407,0.0,0.8816313081014949
2.0,1.0,1.7222666855490332,0.13326984383562931,5.801873751457682,7.026171339744906,0.0,0.0,0.936376757210178,PID,12.869071584445036,0.0,0.9571225312381607
2.0,1.0,1.4286324347244932,0.07144454795717252,6.121641570959517,6.704585068483733,0.0,1.152645590004557,0.47900604945822883,PID,45.9172355363612,0.0,0.8954799276967725
3.0,1.0,2.6905201298549635,0.036193316662520854,10.972382493798055,39.30899387544079,45.81007768993453,0.0,1.658018648166482,Lead,2.4085090384374612,16.510153884249082,0.7779588146215656
3.0,0.3335898591713489,3.809911173340424,0.029769713225306853,4.535452562133774,19.582836893967688,28.93732485727187,0.0,0.8614558625085271,PI,7.232112252397768,0.10325310387961917,0.8844969058110004
1.0,1.0,4.189340826199549,0.17423420657777078,4.189340826199549,0.0,0.0,0.0,0.7299264749367411,PID,5.732386740143934,0.0,0.9439568359091468
